name,house,patronus,wand,species,ancestry,gender,eye_color,hair_color,date_of_birth
Malcolm,None,None,"None, None",human,muggle,male,None,None,None
Gordon,None,None,"None, None",human,muggle,male,None,None,None
Miranda Gaushawk,None,None,"None, None",human,None,female,None,None,None
Bathilda Bagshot,None,None,"None, None",human,None,female,None,None,None
Adalbert Waffling,None,None,"None, None",human,None,male,None,None,None
Emeric Switch,None,None,"None, None",human,None,male,None,None,None
Phyllida Spore,None,None,"None, None",human,None,female,None,None,None
Arsenius Jigger,None,None,"None, None",human,None,male,None,None,None
Newt Scamander,None,None,"None, None",human,None,male,None,None,None
Quentin Trimble,None,None,"None, None",human,None,male,None,None,None
Tom,None,None,"None, None",human,None,male,None,None,None
Doris Crockford,None,None,"None, None",human,None,female,None,None,None
Quirinus Quirrel,None,None,"None, None",human,None,male,None,None,None
Griphook,None,None,"None, None",goblin,None,male,None,None,None
Madam Malkin,None,None,"None, None",human,None,female,None,None,None
Vindictus Viridian,None,None,"None, None",human,None,male,None,None,None
Garrick Ollivander,None,None,"None, None",human,None,male,"pale, silvery",None,None
Hedwig,None,None,"None, None",owl,None,female,amber,None,None
Molly Weasley,Gryffindor,None,"None, None",human,pure-blood,female,None,red,None
Percy Weasley,Gryffindor,None,"None, None",human,pure-blood,male,None,red,None
Fred Weasley,Gryffindor,None,"None, None",human,pure-blood,male,None,red,None
George Weasley,Gryffindor,None,"None, None",human,pure-blood,male,None,red,None
Lee Jordan,Gryffindor,None,"None, None",human,None,male,None,None,None
Bill Weasley,Gryffindor,None,"None, None",human,pure-blood,male,None,red,None
Charlie Weasley,Gryffindor,None,"None, None",human,pure-blood,male,None,red,None
Fat Friar,Hufflepuff,None,"None, None",ghost,None,male,None,None,None
Peeves,None,None,"None, None",poltergeist,None,male,None,None,None
Hannah Abbott,Hufflepuff,None,"None, None",human,half-blood,female,None,blonde,None
Susan Bones,Hufflepuff,None,"None, None",human,None,female,None,None,None
Terry Boot,Ravenclaw,None,"None, None",human,None,male,None,None,None
Mandy Brocklehurst,Ravenclaw,None,"None, None",human,None,female,None,None,None
Lavender Brown,Gryffindor,None,"None, None",human,None,female,None,None,None
Millicent Bulstrode,Slytherin,None,"None, None",human,None,female,None,None,None
Justin Finch-Fletchley,Hufflepuff,None,"None, None",human,muggleborn,male,None,None,None
Seamus Finnegan,Gryffindor,None,"None, None",human,half-blood,male,None,sandy,None
Morag MacDougal,None,None,"None, None",human,None,female,None,None,None
Lily Moon,None,None,"None, None",human,None,female,None,None,None
Theodore Nott,Slytherin,None,"None, None",human,pure-blood,male,None,None,None
Pansy Parkinson,Slytherin,None,"None, None",human,None,female,None,None,None
Parvati Patil,Gryffindor,None,"None, None",human,None,female,None,None,None
Padma Patil,Ravenclaw,None,"None, None",human,None,female,None,None,None
Sally-Anne Perks,None,None,"None, None",human,None,female,None,None,None
Lisa Turpin,Ravenclaw,None,"None, None",human,None,female,None,None,None
Blaise Zabini,Slytherin,None,"None, None",human,None,male,None,None,None
Nearly Headless Nick,Gryffindor,None,"None, None",ghost,None,male,None,None,None
Bloody Baron,Slytherin,None,"None, None",ghost,None,male,None,None,None
Fat Lady,None,None,"None, None",human,None,female,None,None,None
Pomona Sprout,Hufflepuff,None,"None, None",human,None,female,None,None,None
Cuthbert Binns,None,None,"None, None",ghost,None,male,None,None,None
Emeric the Evil,None,None,"None, None",human,None,male,None,None,None
Uric the Oddball,None,None,"None, None",human,None,male,None,None,None
Filius Flitwick,Ravenclaw,None,"None, None",human,None,male,None,None,None
Madam Hooch,None,None,"None, None",human,None,female,yellow,grey,None
Oliver Wood,None,None,"None, None",human,None,male,None,None,None
Gregory the Smarmy,None,None,"None, None",human,None,male,None,None,None
Wizard Baruffio,None,None,"None, None",human,None,male,None,None,None
Angelina Johnson,Gryffindor,None,"None, None",human,None,female,None,None,None
Marcus Flint,Slytherin,None,"None, None",human,None,male,None,None,None
Alicia Spinet,Gryffindor,None,"None, None",human,None,female,None,None,None
Katie Bell,Gryffindor,None,"None, None",human,None,female,None,None,None
Adrian Pucey,Slytherin,None,"None, None",human,None,male,None,None,None
Miles Bletchley,Slytherin,None,"None, None",human,None,male,None,None,None
Terrence Higgs,Slytherin,None,"None, None",human,None,male,None,None,None
Fluffy,None,None,"None, None",three-headed dog,None,male,None,None,None
Nicolas Flamel,None,None,"None, None",human,None,male,None,None,None
Gellert Grindelwald,None,None,"None, None",human,None,male,blue,blond,None
Norberta,None,None,"None, None",dragon,None,female,orange,None,None
Ronan,None,None,"None, None",centaur,None,male,None,red,None
Bane,None,None,"None, None",centaur,None,male,None,None,None
Firenze,None,None,"None, None",centaur,None,male,blue,blond,None
Elfrick the Eager,None,None,"None, None",goblin,None,male,None,None,None
Perenelle Flamel,None,None,"None, None",human,None,female,None,None,None
Bertie Bott,None,None,"None, None",human,None,male,None,None,None
Dobby,None,None,"None, None",house-elf,None,male,green,None,None
Mr Mason,None,None,"None, None",human,muggle,male,None,None,None
Mrs Mason,None,None,"None, None",human,muggle,female,None,None,None
Perkins,None,None,"None, None",human,None,male,None,white,None
Celestina Warbeck,Gryffindor,None,"larch, phoenix feather",human,half-blood,female,None,None,None
Gilderoy Lockhart,None,None,"cherry, dragon heartstring",human,half-blood,male,blue,blond,None
Mundungus Fletcher,None,None,"None, None",human,None,male,None,ginger,None
Mr Borgin,None,None,"None, None",human,None,male,None,None,None
Mr Granger,None,None,"None, None",human,muggle,male,None,None,None
Mrs Granger,None,None,"None, None",human,muggle,female,None,None,None
Dr Filibuster,None,None,"None, None",human,None,male,None,None,None
Colin Creevey,Gryffindor,None,"None, None",human,muggleborn,male,None,None,None
Gladys Gudgeon,None,None,"None, None",human,None,female,None,None,None
Veronica Smethley,None,None,"None, None",human,None,female,None,None,None
Patrick Delaney-Podmore,None,None,"None, None",ghost,None,male,None,None,None
Z. Nettles,None,None,"None, None",human,None,female,None,None,None
D.J. Prod,None,None,"None, None",human,None,male,None,None,None
Elsie Prod,None,None,"None, None",human,None,female,None,None,None
Moaning Myrtle,Ravenclaw,None,"None, None",ghost,muggleborn,female,None,None,None
Godric Gryffindor,None,None,"None, None",human,None,male,None,None,None
Rowena Ravenclaw,None,None,"None, None",human,None,female,None,None,None
Helga Hufflepuff,None,None,"None, None",human,None,female,None,None,None
Salazar Slytherin,None,None,"None, None",human,None,male,None,None,None
Madame Pince,None,None,"None, None",human,None,female,None,None,None
Milicent Bullstroude,Slytherin,None,"None, None",human,None,female,None,black,None
Ernie Macmillan,Hufflepuff,boar,"None, None",human,None,male,None,blond,None
Armando Dippet,None,None,"None, None",human,None,male,None,white,None
Penelope Clearwater,Ravenclaw,None,"None, None",human,None,female,None,None,None
Cornelius Fudge,None,None,"None, None",human,None,male,None,grey,None
Aragog,None,None,"None, None",acromantula,None,male,white,brown,None
Mosag,None,None,"None, None",acromantula,None,female,black,brown,None
Stanley Shunpike,None,None,"None, None",human,None,male,None,None,None
Ernest Prang,None,None,"None, None",human,None,male,None,None,None
Madam Marsh,None,None,"None, None",human,None,female,None,None,None
Florean Fortescue,None,None,"None, None",human,None,male,None,None,None
Sir Cadogan,None,None,"None, None",human,None,male,None,None,None
Sybill Trelawney,None,None,"None, None",human,None,female,None,None,None
Buckbeak,None,None,"None, None",hippogriff,None,male,orange,None,None
Peter Pettigrew,Gryffindor,None,"chestnut, dragon heartstring",human,None,male,None,None,None
Madam Rosmerta,None,None,"None, None",human,None,female,None,None,None
Derek,None,None,"None, None",human,None,male,None,None,None
Septima Vector,None,None,"None, None",human,None,female,None,None,None
Cassius Warrington,Slytherin,None,"None, None",human,None,male,None,None,None
Graham Montague,Slytherin,None,"None, None",human,None,male,None,None,None
Peregrine Derrick,Slytherin,None,"None, None",human,None,male,None,None,None
Lucian Bole,Slytherin,None,"None, None",human,None,male,None,None,None
Walden Macnair,Slytherin,None,"None, None",human,None,male,None,black,None
Franc Bryce,None,None,"None, None",human,muggle,male,None,None,None
Dot,None,None,"None, None",human,muggle,female,None,None,None
Bertha Jorkins,None,None,"None, None",human,None,female,None,None,None
Barty Crouch,None,None,"None, None",human,pure-blood,male,None,None,None
Ludo Bagman,None,None,"None, None",human,None,male,blue,blond,None
Amos Diggory,None,None,"None, None",human,None,male,None,brown,None
Mr Roberts,None,None,"None, None",human,muggle,male,None,None,None
Mr Payne,None,None,"None, None",human,muggle,male,None,None,None
Basil,None,None,"None, None",human,None,male,None,None,None
Archie Aymslowe,None,None,"None, None",human,None,male,None,None,None
Cuthbert Mockridge,None,None,"None, None",human,None,male,None,None,None
Gilbert Wimple,None,None,"None, None",human,None,male,None,None,None
Arnold Peasegood,None,None,"None, None",human,None,male,None,None,None
Broderick Bode,None,None,"None, None",human,None,male,None,None,None
Saul Croaker,None,None,"None, None",human,None,male,None,None,None
Ali Bashir,None,None,"None, None",human,None,male,None,None,None
Victor Krum,None,None,"hornbeam, dragon heartstring",human,None,male,dark,dark,None
Winky,None,None,"None, None",house-elf,None,female,None,None,None
Narcissa Malfoy,None,None,"None, None",human,pure-blood,female,blue,blonde,None
Vasily Dimitrov,None,None,"None, None",human,None,male,None,None,None
Clara Ivanova,None,None,"None, None",human,None,female,None,None,None
Lev Zograf,None,None,"None, None",human,None,male,None,None,None
Alexei Levski,None,None,"None, None",human,None,male,None,None,None
Pyotr Vulchanov,None,None,"None, None",human,None,male,None,None,None
Ivan Volkov,None,None,"None, None",human,None,male,None,None,None
Connolly,None,None,"None, None",human,None,male,None,None,None
Barry Ryan,None,None,"None, None",human,None,male,None,None,None
Troy,None,None,"None, None",human,None,male,None,None,None
Mullet,None,None,"None, None",human,None,female,None,None,None
Moran,None,None,"None, None",human,None,female,None,None,None
Quigley,None,None,"None, None",human,None,male,None,None,None
Aidan Lynch,None,None,"None, None",human,None,male,None,None,None
Hassan Mostafa,None,None,"None, None",human,None,male,None,None,None
Dennis Creevey,None,None,"None, None",human,muggleborn,male,None,brown,None
Aurora Sinistra,None,None,"None, None",human,None,female,None,None,None
Stewart Ackerley,Ravenclaw,None,"None, None",human,None,male,None,None,None
Malcolm Baddock,Slytherin,None,"None, None",human,None,male,None,None,None
Eleanor Branstone,Hufflepuff,None,"None, None",human,None,female,None,None,None
Owen Cauldwell,Hufflepuff,None,"None, None",human,None,male,None,None,None
Emma Dobbs,None,None,"None, None",human,None,female,None,None,None
Laura Madley,Hufflepuff,None,"None, None",human,None,female,None,None,None
Natalie McDonald,Gryffindor,None,"None, None",human,None,female,None,None,None
Graham Pritchard,Slytherin,None,"None, None",human,None,male,None,None,None
Orla Quirke,Ravenclaw,None,"None, None",human,None,female,None,None,None
Kevin Whitby,Hufflepuff,None,"None, None",human,None,male,None,None,None
Eloise Midgen,Gryffindor,None,"None, None",human,None,female,None,None,None
Alastor Moody,None,None,"None, None",human,pure-blood,male,dark,grey,None
Madame Maxime,None,None,"None, None",half-giant,None,female,None,None,None
Igor Karkaroff,None,None,"None, None",human,None,male,blue,silver,None
Poliakoff,None,None,"None, None",human,None,male,None,None,None
Fawcett,Ravenclaw,None,"None, None",human,None,female,None,None,None
Summers,Hufflepuff,None,"None, None",human,None,male,None,None,None
Fleur Delacour,None,None,"None, None",human,None,female,blue,blonde,None
Gregorovic,None,None,"None, None",human,None,male,None,white,None
Rita Skeeter,None,None,"None, None",human,None,female,None,blonde,None
Stebbins,Ravenclaw,None,"None, None",human,None,male,None,None,None
Wilhelmina Grubbly-Plank,None,None,"None, None",human,None,female,None,grey,None
Bozo,None,None,"None, None",human,None,male,None,None,None
Evan Rosier,Slytherin,None,"None, None",human,None,male,None,None,None
Wilkes,Slytherin,None,"None, None",human,None,male,None,None,None
Avery,Slytherin,None,"None, None",human,None,male,None,None,None
Antonin Dolohov,None,None,"None, None",human,None,male,None,dark,None
Travers,None,None,"None, None",human,None,male,None,grey,None
Marlene McKinnon,None,None,"None, None",human,None,female,None,None,None
Mulciber,Slytherin,None,"None, None",human,None,male,None,None,None
Augustus Rookwood,None,None,"None, None",human,None,male,None,None,None
Frank Longbottom,None,None,"None, None",human,pure-blood,male,None,None,None
Alice Longbottom,None,None,"None, None",human,pure-blood,female,None,white,None
Violet,None,None,"None, None",human,None,female,None,None,None
Apollyon Pringle,None,None,"None, None",human,None,male,None,None,None
Ogg,None,None,"None, None",human,None,male,None,None,None
Mafalda Hopkirk,None,None,"None, None",human,None,female,hazel,grey,None
Nymphadora Tonks,Hufflepuff,None,"None, None",human,None,female,None,brown,None
Elphias Doge,None,None,"None, None",human,pure-blood,male,blue,silver,None
Dedalus Diggle,None,None,"None, None",human,None,male,None,None,None
Sturgis Podmore,None,None,"None, None",human,None,male,None,blond,None
Hestia Jones,None,None,"None, None",human,None,female,None,black,None
Ragnok,None,None,"None, None",goblin,None,male,None,None,None
Alphard Black,Slytherin,None,"None, None",human,pure-blood,male,None,None,None
Regulus Black,Slytherin,None,"None, None",human,pure-blood,male,None,black,None
Phineas Nigelus Black,Slytherin,None,"None, None",human,pure-blood,male,None,None,None
Araminta Meliflua Black,Slytherin,None,"None, None",human,None,female,None,None,None
Elladora Black,None,None,"None, None",human,pure-blood,female,None,None,None
Andromeda Tonks,Slytherin,None,"None, None",human,pure-blood,female,None,brown,None
Ted Tonks,None,None,"None, None",human,muggleborn,female,None,blond,None
Rodolphus Lestrange,Slytherin,None,"None, None",human,pure-blood,male,None,None,None
Rabastan Lestrange,Slytherin,None,"None, None",human,pure-blood,male,None,None,None
Eric Munch,None,None,"None, None",human,None,male,None,None,None
Bob,None,None,"None, None",human,None,male,None,None,None
Bengie Fenwick,None,None,"None, None",human,None,male,None,None,None
Edgar Bones,None,None,"None, None",human,None,male,None,None,None
Amelia Bones,None,None,"None, None",human,None,female,None,grey,None
Caradoc Dearborn,None,None,"None, None",human,None,male,None,None,None
Gideon Prewett,None,None,"None, None",human,pure-blood,male,None,None,None
Fabian Prewett,None,None,"None, None",human,pure-blood,male,None,None,None
Aberforth Dumbledore,Gryffindor,goat,"None, None",human,half-blood,male,blue,None,None
Dorcas Meadowes,None,None,"None, None",human,None,female,None,None,None
Algie Longbottom,None,None,"None, None",human,None,male,None,None,None
Anthony Goldstein,Ravenclaw,None,"None, None",human,None,male,None,None,None
Stubby Boardman,None,None,"None, None",human,None,male,None,None,None
Doris Purkiss,None,None,"None, None",human,None,male,None,None,None
Euan Abercrombie,Gryffindor,None,"None, None",human,None,male,None,None,None
Rose Zeller,Hufflepuff,None,"None, None",human,None,female,None,None,None
Patricia Stimpson,None,None,"None, None",human,None,female,None,None,None
Kenneth Towler,Gryffindor,None,"None, None",human,None,male,None,None,None
Vicky Frobisher,Gryffindor,None,"None, None",human,None,female,None,None,None
Geoffrey Hooper,Gryffindor,None,"None, None",human,None,male,None,None,None
Cassandra Trelawney,None,None,"None, None",human,None,female,None,None,None
Michael Corner,Ravenclaw,None,"None, None",human,None,male,None,None,None
Zacharias Smith,Ravenclaw,None,"None, None",human,None,male,None,blond,None
Barnabas the Barmy,None,None,"None, None",human,None,male,None,None,None
Karkus,None,None,"None, None",giant,None,male,None,None,None
Golgomath,None,None,"None, None",giant,None,male,None,None,None
Fridwulfa,None,None,"None, None",giant,None,female,None,None,None
Andrew Kirke,Gryffindor,None,"None, None",human,None,male,None,None,None
Jack Sloper,Gryffindor,None,"None, None",human,None,male,None,None,None
Everard,None,None,"None, None",human,None,male,None,black,None
Dilys Derwent,None,None,"None, None",human,None,female,None,silver,None
Hippocrates Smethwyck,None,None,"None, None",human,None,male,None,None,None
Augustus Pye,None,None,"None, None",human,None,male,None,None,None
Urquhart Rackharrow,None,None,"None, None",human,None,male,None,None,None
Willy Widdershins,None,None,"None, None",human,None,male,None,None,None
Agnes,None,None,"None, None",human,None,female,None,None,None
Miriam Strout,None,None,"None, None",human,None,female,None,None,None
Madam Puddifoot,None,None,"None, None",human,None,female,None,black,None
Summerby,Hufflepuff,None,"None, None",human,None,male,None,None,None
Marietta Edgecombe,Ravenclaw,None,"None, None",human,None,female,None,blonde,None
Madam Edgecombe,None,None,"None, None",human,None,female,None,None,None
John Dawlish,None,None,"None, None",human,None,male,None,grey,None
Bradley,Ravenclaw,None,"None, None",human,None,male,None,None,None
Roger Davies,Ravenclaw,None,"None, None",human,None,male,None,None,None
Grawp,None,None,"None, None",giant,None,male,green,brown,None
Griselda Marchbanks,None,None,"None, None",human,None,female,None,None,None
Eddie Carmichael,Ravenclaw,None,"None, None",human,None,male,None,None,None
Daphne Greengrass,Slytherin,None,"None, None",human,pure-blood,female,None,None,None
Tofty,None,None,"None, None",human,None,male,brown,grey,None
Tiberius Ogden,None,None,"None, None",human,None,male,None,None,None
Pierre Bonaccord,None,None,"None, None",human,None,male,None,None,None
Stubby Boardman,None,None,"None, None",human,None,male,None,None,None
Magorian,None,None,"None, None",centaur,None,male,None,black,None
Emmeline Vance,None,None,"None, None",human,None,female,None,None,None
Herbert Chorley,None,None,"None, None",human,muggle,male,None,None,None
Rufus Scrimgeour,None,None,"None, None",human,None,male,yellowish,tawny,None
Corban Yaxley,None,None,"None, None",human,None,male,blue,blond,None
Fenrir Greyback,None,None,"None, None",werewolf,None,male,None,grey,None
Dirk Cresswell,None,None,"None, None",human,muggleborn,male,None,None,None
Barnabas Cuffe,None,None,"None, None",human,None,male,None,None,None
Ambrosius Flume,None,None,"None, None",human,None,male,None,bald,None
Gwenog Jones,None,None,"None, None",human,None,female,brown,brown,None
Arkie Philpott,None,None,"None, None",human,None,male,None,None,None
Verity,None,None,"None, None",human,None,female,None,blonde,None
Romilda Vane,Gryffindor,None,"None, None",human,None,female,dark,black,None
Cormac McLaggen,Gryffindor,None,"None, None",human,None,male,None,None,None
Marcus Belby,Ravenclaw,None,"None, None",human,None,male,None,None,None
Damocles Belby,None,None,"None, None",human,None,male,None,None,None
Tiberius,None,None,"None, None",human,None,male,None,None,None
Bertie Higgs,None,None,"None, None",human,None,male,None,None,None
Proudfoot,None,None,"None, None",human,None,male,None,None,None
Savage,None,None,"None, None",human,None,male,None,None,None
Humphrey Belcher,None,None,"None, None",human,None,male,None,None,None
Bob Ogden,None,None,"None, None",human,None,male,None,None,None
Morfin Gaunt,None,None,"None, None",human,pure-blood,male,dark,None,None
Marvolo Gaunt,None,None,"None, None",human,pure-blood,male,brown,grey,None
Merope Gaunt,None,None,"None, None",human,pure-blood,female,None,dull,None
Cecilia,None,None,"None, None",human,muggle,female,None,None,None
Tom Riddle,None,None,"None, None",human,muggle,male,None,dark,None
Demelza Robins,Gryffindor,None,"None, None",human,None,female,None,None,None
Jimmy Peakes,Gryffindor,None,"None, None",human,None,male,None,None,None
Ritchie Coote,Gryffindor,None,"None, None",human,None,male,None,None,None
Melinda Bobbin,None,None,"None, None",human,None,female,None,None,None
Leanne,Hufflepuff,None,"None, None",human,None,female,None,None,None
Caractacus Burke,None,None,"None, None",human,None,male,None,None,None
Billy Stubbs,None,None,"None, None",human,muggle,male,None,None,None
Amy Benson,None,None,"None, None",human,muggle,female,None,None,None
Dennis Bishop,None,None,"None, None",human,muggle,male,None,None,None
Mrs Cole,None,None,"None, None",human,muggle,female,None,None,None
Eric Whalley,None,None,"None, None",human,muggle,male,None,None,None
Vaisey,Slytherin,None,"None, None",human,None,male,None,dark,None
Harper,Slytherin,None,"None, None",human,None,male,None,None,None
Urquhart,Slytherin,None,"None, None",human,None,male,None,None,None
Eldred Worple,None,None,"None, None",human,None,male,None,None,None
Sangwini,None,None,"None, None",vampire,None,male,None,dark,None
Gawain Robards,None,None,"None, None",human,None,male,None,None,None
Fergus,None,None,"None, None",human,None,male,None,None,None
Wilkie Twycross,None,None,"None, None",human,None,male,None,None,None
Cadwallader,Hufflepuff,None,"None, None",human,None,male,None,None,None
Galatea Merrythought,None,None,"None, None",human,None,female,None,None,None
Hepzibah Smith,None,None,"None, None",human,None,female,None,None,None
Hokey,None,None,"None, None",house-elf,None,female,None,None,None
Octavius Pepper,None,None,"None, None",human,None,male,None,None,None
Bertram Aubrey,None,None,"None, None",human,None,male,None,None,None
Eileen Prince,None,None,"None, None",human,pure-blood,female,None,None,None
Amycus Carrow,Slytherin,None,"None, None",human,None,male,None,None,None
Alecto Carrow,Slytherin,None,"None, None",human,None,female,None,None,None
Gibbon,None,None,"None, None",human,None,male,None,None,None
Tobias Snape,None,None,"None, None",human,None,male,None,None,None
Pius Thicknesse,None,None,"None, None",human,None,male,None,black,None
Charity Burbage,None,None,"None, None",human,None,female,None,None,None
Percival Dumbledore,None,None,"None, None",human,None,male,None,None,None
Kendra Dumbledore,None,None,"None, None",human,muggleborn,female,dark,black,None
Ariana Dumbledore,None,None,"None, None",human,half-blood,female,None,None,None
Betty Braithwaite,None,None,"None, None",human,None,female,None,None,None
Apolline Delacour,None,None,"None, None",half-human,half-veela,female,None,blonde,None
Gabrielle Delacour,None,None,"None, None",human,quarter-veela,female,None,blonde,None
Monsieur Delacour,None,None,"None, None",human,None,male,None,black,None
Dragomir Gorgovitch,None,None,"None, None",human,None,male,None,None,None
Xenophilius Lovegood,Ravenclaw,None,"None, None",human,None,male,None,white,None
Muriel,None,None,"None, None",human,None,female,None,grey,None
Bilius,None,None,"None, None",human,None,male,None,None,None
Thorfinn Rowle,None,None,"None, None",human,None,male,None,blond,None
Reg Cattermole,None,None,"None, None",human,None,male,None,None,None
Albert Runcorn,None,None,"None, None",human,None,male,None,black,None
Arkie Alderton,None,None,"None, None",human,None,male,None,None,None
Mary Cattermole,None,None,"cherry, unicorn hair",human,muggleborn,female,None,None,None
Maisie Cattermole,None,None,"None, None",human,None,female,None,None,None
Ellie Cattermole,None,None,"None, None",human,None,female,None,None,None
Alfred Cattermole,None,None,"None, None",human,None,male,None,None,None
Gornuk,None,None,"None, None",goblin,None,male,None,None,None
Bowman Wright,None,None,"None, None",human,None,male,None,None,None
Ivor Dillonsby,None,None,"None, None",human,None,male,None,None,None
Enid Smeek,None,None,"None, None",human,None,female,None,None,None
Egbert the Egregious,None,None,"None, None",human,None,male,None,None,None
Godelot,None,None,"None, None",human,None,male,None,None,None
Hereward,None,None,"None, None",human,None,male,None,None,None
Loxias,None,None,"None, None",human,None,male,None,None,None
Barnabas Deverill,None,None,"None, None",human,None,male,None,None,None
Arcus,None,None,"None, None",human,None,male,None,None,None
Livius,None,None,"None, None",human,None,male,None,None,None
Antioch Peverell,None,None,"None, None",human,pure-blood,male,None,None,None
Cadmus Peverell,None,None,"None, None",human,pure-blood,male,None,None,None
Ignotus Peverell,None,None,"None, None",human,pure-blood,male,None,None,None
Selwyn,None,None,"None, None",human,pure-blood,male,None,None,None
Scabior,Slytherin,None,"None, None",human,None,male,None,None,None
Ragnuk the First,None,None,"None, None",goblin,None,male,None,None,None
Ted Lupin,Hufflepuff,None,"None, None",human,half-blood,male,None,None,None
Marius,None,None,"None, None",human,None,male,None,None,None
Bogrod,None,None,"None, None",goblin,None,male,black,white,None
The Grey Lady,None,None,"None, None",ghost,None,female,None,None,None
Dexter Fortescue,None,None,"None, None",human,None,male,None,None,None
Lily Potter,Gryffindor,None,"None, None",human,half-blood,female,None,red,None
James Potter,Gryffindor,None,"None, None",human,half-blood,male,None,None,None
Albus Severus Potter,Slytherin,None,"None, None",human,half-blood,male,green,black,None
Rose Weasley,Gryffindor,None,"None, None",human,half-blood,female,None,red,None
Hugo Weasley,None,None,"None, None",human,half-blood,male,None,brown,None
Scorpius Malfoy,Slytherin,None,"None, None",human,pure-blood,male,grey,blond,None
Victoire Weasley,None,None,"None, None",human,None,female,None,blonde,None
